Question_Length,Number_of_Technologies_Mentioned,Estimated_RFP_Relevance_1_5,Vendor_Cisco,Vendor_Databricks,Vendor_Google_Cloud,Vendor_IBM,Vendor_Microsoft,Vendor_Salesforce,Vendor_Snowflake,Source_Website_aws_amazon_com,Source_Website_cloud_google_com,Source_Website_cloud_ibm_com,Source_Website_learn_microsoft_com,Source_Website_www_cisco_com,Source_Website_www_databricks_com,Source_Website_www_snowflake_com,Knowledge_Asset_Category_Governance_Guide,Knowledge_Asset_Category_Landing_Zone,Knowledge_Asset_Category_Migration_Guide,Knowledge_Asset_Category_Operations_Guide,Knowledge_Asset_Category_Pricing_Guidance,Knowledge_Asset_Category_Product_Documentation,Knowledge_Asset_Category_Reference_Architecture,Knowledge_Asset_Category_Security_Guide,Knowledge_Asset_Category_Well_Architected,Technology_Domain_Cloud_Architecture,Technology_Domain_Cost_Optimization,Technology_Domain_DevOps_Platform_Engineering,Technology_Domain_GenAI_AI,Technology_Domain_Migration_Modernization,Technology_Domain_Networking,Technology_Domain_Operations_Monitoring,Technology_Domain_Resilience_DR,Technology_Domain_Security_Governance,Cloud_Platform_Cisco_Hybrid_Network,Cloud_Platform_Databricks,Cloud_Platform_Google_Cloud,Cloud_Platform_IBM_Cloud,Cloud_Platform_Microsoft_Azure_Microsoft_Cloud,Cloud_Platform_Salesforce,Cloud_Platform_Snowflake,Presales_Category_Cost_Optimization,Presales_Category_Data_Platform,Presales_Category_Governance_Operating_Model,Presales_Category_Migration_Assessment,Presales_Category_Operations,Presales_Category_Resilience_DR,Presales_Category_Security_Compliance,Presales_Category_Solution_Architecture,Presales_Category_Vendor_Evaluation,Business_Capability_Business_continuity_and_resilience,Business_Capability_Cloud_foundation_and_workload_architecture,Business_Capability_Cloud_migration_and_modernization,Business_Capability_Digital_platform_delivery,Business_Capability_Enterprise_data_and_analytics,Business_Capability_Financial_governance_FinOps,Business_Capability_Hybrid_connectivity_and_network_foundation,Business_Capability_IT_operations_and_observability,Business_Capability_Risk_compliance_and_identity_control,Question_Intent_Determine_implementation_approach,Question_Intent_Determine_timing_applicability,Question_Intent_Estimate_commercial_impact,Question_Intent_Evaluate_options_fit,Question_Intent_Request_presales_guidance,Question_Intent_Understand_capability_terminology,Question_Type_Best_Practice,Question_Type_Commercial_Pricing,Question_Type_Governance_Security,Question_Type_Implementation,Question_Type_Informational,Question_Type_Migration,Question_Complexity_Low,Question_Complexity_Medium,Document_Type_FAQ,Document_Type_Governance_Guide,Document_Type_Migration_Guide,Document_Type_Official_Blog_Guide,Document_Type_Product_Documentation,Document_Type_Reference_Architecture,Document_Type_Security_Guide,Document_Type_Well_Architected,Document_Type_Whitepaper,Answer_Confidence_Medium,Actual Repository,Predicted Repository,Routing Correct
17,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Public Documentation | Commercial Model | Pricing Template | SME,Public Documentation | Commercial Model | Pricing Template | SME,Yes
12,0,5,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,Public Documentation,Public Documentation,Yes
5,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation,Public Documentation | Governance Framework | Risk Register | SME,No
13,3,4,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Governance Framework | Risk Register | SME,Public Documentation | Governance Framework | Risk Register | SME,Yes
7,1,5,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,Public Documentation | Commercial Model | Pricing Template | SME,Public Documentation | Commercial Model | Pricing Template | SME,Yes
11,1,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Architecture Blueprint | Methodology | SME,Public Documentation | Architecture Blueprint | Methodology | SME,Yes
11,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Architecture Blueprint | Methodology | SME,Public Documentation | Architecture Blueprint | Methodology | SME,Yes
8,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Governance Framework | Risk Register | SME,Public Documentation | Governance Framework | Risk Register | SME,Yes
8,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Public Documentation | Architecture Blueprint | Methodology | SME,Public Documentation | Architecture Blueprint | Methodology | SME,Yes
13,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Architecture Blueprint | Methodology | SME,Public Documentation | Architecture Blueprint | Methodology | SME,Yes
7,4,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Commercial Model | Pricing Template | SME,Public Documentation | Commercial Model | Pricing Template | SME,Yes
6,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Governance Framework | Risk Register | SME,Public Documentation | Governance Framework | Risk Register | SME,Yes
13,3,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Commercial Model | Pricing Template | SME,Public Documentation | Commercial Model | Pricing Template | SME,Yes
5,0,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Architecture Blueprint | Methodology | SME,Public Documentation | Architecture Blueprint | Methodology | SME,Yes
10,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Architecture Blueprint | Methodology | SME,Public Documentation | Architecture Blueprint | Methodology | SME,Yes
10,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,Public Documentation | Commercial Model | Pricing Template | SME,Public Documentation | Commercial Model | Pricing Template | SME,Yes
6,2,5,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,Public Documentation | Architecture Blueprint | Methodology | SME,Public Documentation,No
